no;dapil;partai;nama;jk;lokasi
2066;bogor;GOLKAR;ICHSAN FIRDAUS;Laki-Laki;KOTA BEKASI
2067;bogor;GOLKAR;Hj. ATTIE D. ANDJAR RACHMAN, S.H., M.Si;Perempuan;KOTA CIMAHI
2068;bogor;GOLKAR;ILHAM PERMANA;Laki-Laki;BOGOR
2069;bogor;GOLKAR;Drs. KH. NAWAFIE SALEH, S.E., M.M.;Laki-Laki;BOGOR
2070;bogor;GOLKAR;ASTRID KRISANDA;Perempuan;JAKARTA SELATAN
2071;bogor;GOLKAR;H. AGUS HITOPA SUKMA, SH, MSI;Laki-Laki;KOTA DEPOK
2072;bogor;GOLKAR;RATIH AYU SYAFRIZA, S.Hut;Perempuan;JAKARTA TIMUR
2073;bogor;HANURA;Dr. JUS USMAN SUMANEGARA, SE., MM.;Laki-Laki;JAKARTA TIMUR
2074;bogor;HANURA;Hj.. JAMILAH KESUMA, SH;Perempuan;JAKARTA TIMUR
2075;bogor;HANURA;EKO RUKMANA, SE.,MM.;Laki-Laki;KOTA DEPOK
2076;bogor;HANURA;LIZA AYU ANUGERAH;Perempuan;KOTA TANGERANG SELATAN
2077;bogor;HANURA;ADI RAHMANTO, S.Ip;Laki-Laki;KOTA TANGERANG SELATAN
2078;bogor;PARTAI KEADILAN DAN PERSATUAN INDONESIA;VERRY SURYA HENDRAWAN;Laki-Laki;BOGOR
2079;bogor;PARTAI KEADILAN DAN PERSATUAN INDONESIA;SAWAL AFRIADI;Laki-Laki;JAKARTA SELATAN
2080;bogor;PARTAI KEADILAN DAN PERSATUAN INDONESIA;PELTIA SUKMAWATI;Perempuan;BOGOR
2088;bogor;PKS;H. EKO SYAIFUL ROHMAN;Laki-Laki;BOGOR
2089;bogor;PKS;ATIKAH SHALIHAT, S.E.I;Perempuan;BOGOR
2090;bogor;PKS;Dra. HJ. IDA FARIDA DARWI, MA.;Perempuan;BOGOR
2091;bogor;PKS;H. MAMAN NURZAMAN, ME;Laki-Laki;BOGOR
2093;bogor;PKB;TOMMY KURNIAWAN;Laki-Laki;KOTA TANGERANG SELATAN
2094;bogor;PKB;ADE WARDHANA ADINATA, SE. MM;Laki-Laki;BOGOR
2095;bogor;PKB;Hj. MIFTAHUL JANAH, M.Si;Perempuan;KOTA TANGERANG SELATAN
2096;bogor;PKB;DRA. TUTI AM;Perempuan;BOGOR
2097;bogor;PKB;MUHAMMAD NUR M HORU, SH;Laki-Laki;BOGOR
2098;bogor;PKB;SETIAWATI, M.PD;Perempuan;JAKARTA TIMUR
2099;bogor;PKB;R. ALEX SANDI RIDWAN;Laki-Laki;BOGOR
2100;bogor;PKB;SUKITMAN;Laki-Laki;SUKABUMI
2101;bogor;PKB;H. MUH. SABRI MANOMANG, SE., MM;Laki-Laki;KOTA KENDARI
2102;bogor;PARTAI NASDEM;TEUKU TAUFIQULHADI, M.Si;Laki-Laki;JAKARTA SELATAN
2103;bogor;PARTAI NASDEM;SONDANG TARIDA TAMPUBOLON, SH;Perempuan;KOTA TANGERANG SELATAN
2104;bogor;PARTAI NASDEM;DR.. FRIEDRICH M. RUMINTJAP,, SPOG (K), MARS;Laki-Laki;KOTA BOGOR
2105;bogor;PARTAI NASDEM;RIZAYATI, MM;Perempuan;BIREUEN
2106;bogor;PARTAI NASDEM;SAHRUL GUNAWAN, S.E., M.Si.;Laki-Laki;JAKARTA SELATAN
2107;bogor;PARTAI NASDEM;C. SUHADI, S.H., M.H.;Laki-Laki;JAKARTA BARAT
2108;bogor;PARTAI NASDEM;WIDI WIJAYA GITAPUTRA, S.T., MBA.;Laki-Laki;KOTA TANGERANG SELATAN
2109;bogor;PARTAI NASDEM;SAPTO SATRIO MULYO;Laki-Laki;KOTA BEKASI
2110;bogor;PARTAI NASDEM;CITRA ANGGUN SARIE;Perempuan;JAKARTA SELATAN
2113;bogor;PPP;H. ACHMAD FARIAL;Laki-Laki;JAKARTA SELATAN
2114;bogor;PPP;H. HARIS SETIAWAN, SE, MM;Laki-Laki;KOTA BOGOR
2115;bogor;PPP;HILMAN ISMAIL METAREUM, SE;Laki-Laki;JAKARTA BARAT
2116;bogor;PPP;CHAIRUNITA, S.Sos., M.Si;Perempuan;KOTA DEPOK
2118;bogor;PPP;ANDRA BANI SAGALANE, SH. MH;Laki-Laki;JAKARTA TIMUR
2119;bogor;PPP;RUSDI HIDAYAT, S.E.;Laki-Laki;CIREBON
2120;bogor;PPP;NURUL FATIN AFIFAH, S.IP.;Perempuan;INDRAMAYU
2121;bogor;PSI;FAJAR RIZA UL HAQ, MA;Laki-Laki;KOTA BOGOR
2122;bogor;PSI;SURYANTO GULTOM, SH;Laki-Laki;BOGOR
2123;bogor;PSI;NURLAELATI AHMAD TAUFIK;Perempuan;KOTA BANDUNG
2124;bogor;PSI;TOMMY PAN HOLAN, SE, MM;Laki-Laki;BOGOR
2125;bogor;PSI;YUNIUS SUWANTORO, S.Sos;Laki-Laki;BOGOR
2127;bogor;PSI;HANS ALVADINO LUBIS, S.Si;Laki-Laki;BOGOR
2128;bogor;PSI;WURI GEMINASTITI;Perempuan;GARUT
2129;bogor;PSI;Drs. MOHAMAD IRZAN;Laki-Laki;JAKARTA SELATAN
2130;bogor;PERINDO;MUHAMMAD SOPIYAN, MA;Laki-Laki;JAKARTA TIMUR
2131;bogor;PERINDO;EVA MUTIA, S.Sos;Perempuan;BOGOR
2132;bogor;PERINDO;Prof. Dr. Ir. ISMAN KADAR, MM;Laki-Laki;BOGOR
2133;bogor;PERINDO;Dr.Ir. ISMUDI MUCHSIN;Laki-Laki;BOGOR
2134;bogor;PERINDO;ALMIZAN ULFA, SE, MSc;Laki-Laki;BOGOR
2135;bogor;PERINDO;FEIRUZ MELAWARDHANI CK, SI;Perempuan;KOTA BOGOR
2137;bogor;PERINDO;STEFANUS WILLA FARADIAN PURWOKO, S.T;Laki-Laki;BOGOR
2140;cianjur;PAN;ACHMAD QAYYIMEL ALOFI;Laki-Laki;JAKARTA TIMUR
2141;cianjur;PAN;SYAMSUL BACHRI DAY, SH., MH.;Laki-Laki;BANDUNG
2142;cianjur;PAN;DEWI SUMINAR IRIANTIKA, SE;Perempuan;KOTA BANDUNG
2143;cianjur;PAN;AKHMAD ATYAN READY;Laki-Laki;GARUT
2145;cianjur;PAN;MERLIN NOER FIRDAUS, SH;Perempuan;CIANJUR
2146;cianjur;PARTAI BERKARYA;DEDDY ISMAIL, A.MD;Laki-Laki;CIANJUR
2147;cianjur;PARTAI BERKARYA;HIKMATUL GINA RAMADHAN, S.E;Laki-Laki;CIANJUR
2148;cianjur;PARTAI BERKARYA;SRI ROYANI, S.S;Perempuan;KOTA BANDUNG
2149;cianjur;PARTAI BERKARYA;MAMAN SUHERMAN, SH;Laki-Laki;KOTA BANDUNG
2150;cianjur;PARTAI BERKARYA;DENI SUNARYA, S.H;Laki-Laki;CIANJUR
2152;cianjur;PBB;IR. H.HATMAN;Laki-Laki;KOTA BANDUNG
2153;cianjur;PBB;MUHAMMAD TOHA, S.Ag.,M.Pd.I.;Laki-Laki;CIANJUR
2154;cianjur;PBB;DEDE SISKA AMALIYAH, S.Pd., M.Pd.I;Perempuan;CIANJUR
2155;cianjur;PBB;DRS. H. TATA MUTTAQIN, MMPD;Laki-Laki;KOTA BANDUNG
2156;cianjur;PBB;RIDWAN UMAR, SE;Laki-Laki;JAKARTA SELATAN
2164;cianjur;DEMOKRAT;ABDUL HOLIK, S.Th.I., M.A;Laki-Laki;KOTA BANDUNG
2165;cianjur;DEMOKRAT;YADI MULYADI, SH, MH;Laki-Laki;CIANJUR
2166;cianjur;DEMOKRAT;HJ. LILIS BOY;Perempuan;CIANJUR
2167;cianjur;DEMOKRAT;HADI SUTRISNO, SE;Laki-Laki;CIANJUR
2168;cianjur;DEMOKRAT;AI SETIAWATI, S.PD, S.Pd;Perempuan;CIANJUR
2169;cianjur;DEMOKRAT;OYOK SOFYAN, S.IP;Laki-Laki;CIANJUR
2170;cianjur;GERINDRA;MIRZA AGAM GUMAY;Laki-Laki;JAKARTA SELATAN
2171;cianjur;GERINDRA;H. MASHURY, MBA.;Laki-Laki;KOTA DEPOK
2172;cianjur;GERINDRA;HJ. TIEN KARTIKA, BBA;Perempuan;KOTA BANDUNG
2173;cianjur;GERINDRA;RAMLAN WIDIAWAN, SS;Laki-Laki;BOGOR
2174;cianjur;GERINDRA;N WIKEU RAHMAWATI, SH;Perempuan;CIANJUR
2175;cianjur;GERINDRA;H. GATOT SUBROTO, SH., MH;Laki-Laki;CIANJUR
2176;cianjur;GOLKAR;DRS. H. ADE BARKAH SURAHMAN, M.Si;Laki-Laki;CIANJUR
2177;cianjur;GOLKAR;H. ODEN HARYADI, SH,MH;Laki-Laki;CIANJUR
2178;cianjur;GOLKAR;HJ. YETTY HERYATI, SH;Perempuan;CIANJUR
2179;cianjur;GOLKAR;LESMANA ADITHIA, SE;Laki-Laki;KOTA BANDUNG
2180;cianjur;GOLKAR;AGUS NURJAMAN, S.Pd.I;Laki-Laki;SUKABUMI
2181;cianjur;GOLKAR;HANA YULIANDANI, S.Agr;Perempuan;CIANJUR
2182;cianjur;HANURA;ASEP RUDIYANA, SH., MH.;Laki-Laki;CIANJUR
2183;cianjur;HANURA;DRINA FAUZIAH, ST., MM.;Perempuan;BOGOR
2184;cianjur;HANURA;ACEP MUHAMMAD SOLEHUDIN;Laki-Laki;CIANJUR
2185;cianjur;HANURA;ANTONO Y. WIYANTO, SH.;Laki-Laki;CIANJUR
2186;cianjur;HANURA;NOVITA NURSALINA;Perempuan;CIANJUR
2187;cianjur;HANURA;AYU ROSALYA RAHAYU;Perempuan;BANDUNG
2188;cianjur;PARTAI KEADILAN DAN PERSATUAN INDONESIA;IMAN BUDIANA, SE;Laki-Laki;CIANJUR
2189;cianjur;PARTAI KEADILAN DAN PERSATUAN INDONESIA;MAESAROH, S.Pd;Perempuan;CIANJUR
2192;cianjur;PKS;HJ. ISTINGANAH, S.H.;Perempuan;CIANJUR
2193;cianjur;PKS;DJEDJEN DJAELANI, S.Hi;Laki-Laki;CIANJUR
2196;cianjur;PKS;SRI EVIANA;Perempuan;CIANJUR
2197;cianjur;PKS;H. DANI HAMDANI, S.E.;Laki-Laki;CIANJUR
2204;cianjur;PARTAI NASDEM;ONNIE SOERONO SANDI, SE;Laki-Laki;PURWAKARTA
2205;cianjur;PARTAI NASDEM;DR.Dr.Hj.. YENI NURAENI, SH.,MH.,MMRS;Perempuan;KOTA BANDUNG
2206;cianjur;PARTAI NASDEM;RD.HJ. NELLY KARTANAGARA;Perempuan;JAKARTA SELATAN
2207;cianjur;PARTAI NASDEM;VIKA SILVIAH;Perempuan;CIANJUR
2208;cianjur;PARTAI NASDEM;ARRY SYAHRIDAR, Bc.,Hk.;Laki-Laki;CIANJUR
2209;cianjur;PARTAI NASDEM;BUDI HERMAWAN, SE;Laki-Laki;CIANJUR
2210;cianjur;PPP;H.CHUMAEDI, SH;Laki-Laki;CIANJUR
2211;cianjur;PPP;H.ADE ISMAIL, S.Pd.I.;Laki-Laki;CIANJUR
2212;cianjur;PPP;HJ.N.RINA MARDIAH, SH.,MH.;Perempuan;CIANJUR
2213;cianjur;PPP;RACHMAT SUDRAJAT;Laki-Laki;KOTA DEPOK
2214;cianjur;PPP;IMA MARYANI, S.PD.I;Perempuan;CIANJUR
2215;cianjur;PSI;DENI MUHAMAD NURJAYA;Laki-Laki;CIANJUR
2216;cianjur;PSI;RAHAYU;Perempuan;CIANJUR
2219;cianjur;PERINDO;ZAINAL ABIDIN NUH;Laki-Laki;CIANJUR
2222;cianjur;PERINDO;H. IWAN RIDWAN, S.E;Laki-Laki;KOTA BANDUNG
2223;cianjur;PERINDO;LELAH NURLELAH SULISTIA;Perempuan;CIANJUR
2224;cianjur;PERINDO;YANA AKMAL MULYADI, S.Pd.;Laki-Laki;CIANJUR
2225;cianjur;PAN;H. EDDY SOEPARNO;Laki-Laki;JAKARTA SELATAN
2227;cianjur;PAN;H. DEKY PURNAMA;Laki-Laki;KOTA BOGOR
2228;cianjur;PAN;DR. H. HISBULLAH A MUKMININ, SH., M.Si;Laki-Laki;KOTA TANGERANG SELATAN
2230;cianjur;PAN;Hj. HAKANNA, S.Ikom;Perempuan;KOTA BOGOR
2231;cianjur;PAN;MARDAN MUHAMMAD;Laki-Laki;JAKARTA SELATAN
2233;cianjur;PAN;AHMAD RIZAL;Laki-Laki;BOGOR
2234;cianjur;PARTAI BERKARYA;IYET RACHMAWATI, SH;Perempuan;KOTA BOGOR
2236;cianjur;PARTAI BERKARYA;PEPPY BADRU FATAHILLAH;Laki-Laki;KOTA BANDUNG
2237;cianjur;PARTAI BERKARYA;R.D. NAULITA D. SIAGIAN;Perempuan;JAKARTA SELATAN
2240;cianjur;PARTAI BERKARYA;H. ALVIN NUGRAHA, S.H., MKn., LLM;Laki-Laki;JAKARTA SELATAN
2242;cianjur;PARTAI BERKARYA;INDAH LESTARI;Perempuan;BANDUNG
2254;cianjur;PDIP;H. ANTONI WIJAYA, S.H.;Laki-Laki;KOTA SEMARANG
2257;cianjur;PDIP;SANIUS ABASTARI;Laki-Laki;KARAWANG
2258;cianjur;PDIP;SURYANTI, S.Psi;Perempuan;JAKARTA UTARA
2262;cianjur;DEMOKRAT;Dr. H.SJARIFUDDIN HASAN, SE,MM,MBA;Laki-Laki;BOGOR
2263;cianjur;DEMOKRAT;WAWAN SETIAWAN SH.;Laki-Laki;CIANJUR
2264;cianjur;DEMOKRAT;SRI HIDAYATI;Perempuan;KOTA DEPOK
2265;cianjur;DEMOKRAT;H. HEDI PERMADI BOY, SE, MM, Mec;Laki-Laki;CIANJUR
2266;cianjur;DEMOKRAT;BOBBY BERNARD BATUBARA, ST, MBA;Laki-Laki;JAKARTA SELATAN
2267;cianjur;DEMOKRAT;dr. HJ DINA HARIJANTO M;Perempuan;JAKARTA PUSAT
2268;cianjur;DEMOKRAT;BARICK AHMAD SETIAWAN, , S.Si., M.A.B.;Laki-Laki;KOTA BANDUNG
2269;cianjur;DEMOKRAT;Drs. MAMAN HERMAN, M.Si;Laki-Laki;KOTA BOGOR
2270;cianjur;DEMOKRAT;DINA AMALIA H;Perempuan;KOTA BEKASI
2271;cianjur;GERINDRA;Ir. H. AHMAD RIZA PATRIA, MBA;Laki-Laki;JAKARTA SELATAN
2272;cianjur;GERINDRA;Dr. Ir. HJ. ENDANG SETYAWATI THOHARI DESS, MSC;Perempuan;KOTA BOGOR
2273;cianjur;GERINDRA;SJUKRIANTO YULIA, SE, M.Fin;Laki-Laki;JAKARTA TIMUR
2274;cianjur;GERINDRA;Ir. IRWAN ARDI HASMAN;Laki-Laki;JAKARTA SELATAN
2275;cianjur;GERINDRA;YAYA RUYANI, S.Sos.;Perempuan;CIANJUR
2276;cianjur;GERINDRA;H. HASAN ZAINAL ABIDIN EZ, SE., MM;Laki-Laki;KOTA BOGOR
2277;cianjur;GERINDRA;HELMALIA JELITA PUTRI;Perempuan;JAKARTA UTARA
2278;cianjur;GERINDRA;Ir. H. MOHAMMAD NUR SUKMA;Laki-Laki;KOTA BOGOR
2279;cianjur;GERINDRA;Dr. Ir. H. LUKMAN MALANUANG;Laki-Laki;KOTA BOGOR
2280;cianjur;PARTAI GERAKAN PERUBAHAN INDONESIA;MIFTAHUDIN;Laki-Laki;JAKARTA TIMUR
2281;cianjur;PARTAI GERAKAN PERUBAHAN INDONESIA;HANA CAROLLIN, S.I.Kom., M.I.Kom;Perempuan;JAKARTA TIMUR
2282;cianjur;PARTAI GERAKAN PERUBAHAN INDONESIA;DWIKA BUDHYANTARA, S.E;Laki-Laki;KOTA BOGOR
2284;cianjur;GOLKAR;EKA SASTRA;Laki-Laki;JAKARTA BARAT
2287;cianjur;GOLKAR;Dr. H. DEDING ISHAK, S.H., M.M.;Laki-Laki;BANDUNG
2288;cianjur;GOLKAR;Ir. LUCKY ALI MOERFIQIN, M.M;Laki-Laki;JAKARTA TIMUR
2289;cianjur;GOLKAR;WIEKE WIANA, M. Si;Perempuan;JAKARTA SELATAN
2290;cianjur;GOLKAR;AFRIAN BONDJOL, S.H.;Laki-Laki;JAKARTA SELATAN
2291;cianjur;GOLKAR;H. TB RADITYA INDRAJAYA, S.E;Laki-Laki;BANDUNG
2292;cianjur;GOLKAR;Ir. HJ. METTY TRIANTIKA;Perempuan;KOTA BANDUNG
2293;cianjur;HANURA;DJONI ROLINDRAWAN;Laki-Laki;JAKARTA BARAT
2294;cianjur;HANURA;TIKA LATIFAH, S.Sos;Perempuan;CIANJUR
2295;cianjur;HANURA;SUPRIYATI;Perempuan;JAKARTA SELATAN
2296;cianjur;HANURA;DJOKO SULISTYONO;Laki-Laki;JAKARTA PUSAT
2297;cianjur;HANURA;WIDHA RETNO;Perempuan;JAKARTA BARAT
2298;cianjur;PARTAI KEADILAN DAN PERSATUAN INDONESIA;AMIR HAMZAH;Laki-Laki;KOTA BOGOR
2299;cianjur;PARTAI KEADILAN DAN PERSATUAN INDONESIA;EKO ABD RACHMAN, S.H.;Laki-Laki;JAKARTA PUSAT
2300;cianjur;PARTAI KEADILAN DAN PERSATUAN INDONESIA;ANDITA SARI;Perempuan;JAKARTA PUSAT
2302;cianjur;PKS;H. ECKY AWAL MUCHARAM;Laki-Laki;KOTA BEKASI
2303;cianjur;PKS;Ir. IIM NUROCHIMAH, M.Si;Perempuan;KOTA BOGOR
2304;cianjur;PKS;H. NAJAMUDIN, M.PD.I;Laki-Laki;KOTA BOGOR
2305;cianjur;PKS;H. GILAR BUDI RAHARJA, ST., M.SC.;Laki-Laki;CIANJUR
2306;cianjur;PKS;ABUZAR, SE;Laki-Laki;KOTA BOGOR
2309;cianjur;PKS;TEGUH RIHANANTO, S.AP;Laki-Laki;KOTA BOGOR
2310;cianjur;PKS;MOHAMMAD KASIF;Laki-Laki;JAKARTA PUSAT
2311;cianjur;PKS;R. ELA LAYLA MARDIYAH;Perempuan;KOTA BANDUNG
2312;cianjur;PKB;NENG EEM MARHAMAH ZULFA HIZ;Perempuan;JAKARTA SELATAN
2313;cianjur;PKB;H. OTONG ABDURRAHMAN;Laki-Laki;KARANGANYAR
2314;cianjur;PKB;KH. ADE ABDUL AZIZ;Laki-Laki;BANDUNG
2315;cianjur;PKB;IR. KOKO MURDOKOWIYOTO, MM;Laki-Laki;KOTA BOGOR
2316;cianjur;PKB;H. BAGUS KARYANEGARA;Laki-Laki;JAKARTA SELATAN
2317;cianjur;PKB;MEI MEI MEILANI;Perempuan;KOTA BOGOR
2318;cianjur;PKB;MARIADI;Laki-Laki;JAKARTA TIMUR
2319;cianjur;PKB;DESTINAL ARMUNANTO, SH.,MM;Laki-Laki;KOTA DEPOK
2320;cianjur;PARTAI NASDEM;Drs. H. TJETJEP MUCHTAR SOLEH, MM;Laki-Laki;CIANJUR
2321;cianjur;PARTAI NASDEM;ANANDA TOHPATI NR, , M.Si;Laki-Laki;JAKARTA TIMUR
2322;cianjur;PARTAI NASDEM;IRA JUARIAH SYAHBUDIN, S.H;Perempuan;CIANJUR
2323;cianjur;PARTAI NASDEM;ANDI ABDURRAHMAN;Laki-Laki;JAKARTA SELATAN
2324;cianjur;PARTAI NASDEM;LILIS HERNA YULIA;Perempuan;CIANJUR
2325;cianjur;PARTAI NASDEM;H. APIP ISKANDAR, SH,MH,M.Si;Laki-Laki;CIANJUR
2326;cianjur;PARTAI NASDEM;GUNGUN SAMBAS, SKM, SHI, SH, M.EPID;Laki-Laki;CIANJUR
2327;cianjur;PARTAI NASDEM;R. PEPEN RUSTAM EFENDI, SH;Laki-Laki;KOTA BOGOR
2328;cianjur;PARTAI NASDEM;Hj. YENI NURAENI;Perempuan;CIANJUR
2330;cianjur;PPP;H. JOKO PURWANTO;Laki-Laki;JAKARTA TIMUR
2331;cianjur;PPP;H. ANDI SURYA WIJAYA, S.H, M.H.;Laki-Laki;KOTA BOGOR
2333;cianjur;PPP;EVI GUSTAMAN;Laki-Laki;CIANJUR
2339;cianjur;PSI;THOMAS CHRISTIANO QUIKO;Laki-Laki;KOTA BEKASI
2340;cianjur;PSI;ANNE SULISTIJADEWI, S.Kom, MM;Perempuan;KOTA BOGOR
2341;cianjur;PSI;RUDY GUNAWAN, S.E;Laki-Laki;KOTA BEKASI
2342;cianjur;PSI;MUHAMMAD RIFKI ARIA NUGRAHA;Laki-Laki;KOTA BOGOR
2344;cianjur;PSI;RONALD GANDHA PARLINDUNGAN HUTABARAT, ST;Laki-Laki;JAKARTA TIMUR
2345;cianjur;PSI;MUSOLLINI LUBIS, S.TP;Laki-Laki;KOTA BOGOR
2346;cianjur;PERINDO;DEBORA DEBBY WAGE, S.Sos.,M.Si;Perempuan;JAKARTA SELATAN
2347;cianjur;PERINDO;Drs. H. ANDRADJATI, MIP;Laki-Laki;JAKARTA SELATAN
2348;cianjur;PERINDO;SAHAT TUMANGGOR, SE., MM.;Laki-Laki;JAKARTA SELATAN
2350;cianjur;PERINDO;H. HANDY SUCITRA, SH;Laki-Laki;CIANJUR
2351;cianjur;PERINDO;Ir. GERARD A. M. C. KALIEY;Laki-Laki;JAKARTA PUSAT
2352;cianjur;PERINDO;Drs. H. AZKAR BADRI, MSi;Laki-Laki;KOTA TANGERANG SELATAN
2353;cianjur;PERINDO;ANDARINI RIEKE LESTINA H;Perempuan;JAKARTA TIMUR
2354;cianjur;PERINDO;DINI RACHMANI, SE;Perempuan;JAKARTA TIMUR
2355;cirebon;PAN;ABDURRAHMAN TARSALI PRATOMO, SH;Laki-Laki;KOTA BANDUNG
2357;cirebon;PAN;dr. ANDI SETIAWAN;Laki-Laki;KOTA CIREBON
2358;cirebon;PAN;Drs.. ARIF RISMAWAN, S.Ag., MM.;Laki-Laki;CIREBON
2361;cirebon;PAN;AHMAD EDI SUYANTO;Laki-Laki;CIREBON
2363;cirebon;PAN;TITA RAHAYU;Perempuan;CIREBON
2364;cirebon;PAN;LUKMAN HAKIM, A.Md;Laki-Laki;CIREBON
2365;cirebon;PAN;R. RIZCKY ANANDA;Laki-Laki;KOTA BANDUNG
2366;cirebon;PAN;ADE MARUZKI;Laki-Laki;CIREBON
2368;cirebon;PARTAI BERKARYA;H. ABDULLAH THOHIR, M.Si;Laki-Laki;INDRAMAYU
2371;cirebon;PARTAI BERKARYA;SHAHADAT AKBAR, S.E;Laki-Laki;BANDUNG BARAT
2372;cirebon;PARTAI BERKARYA;MUHAMAD IJUDIN RAHMAT, SH;Laki-Laki;BANDUNG
2373;cirebon;PARTAI BERKARYA;FAOZIYAH, S.E;Perempuan;KOTA BANDUNG
2376;cirebon;PBB;H.M. WILDAN JAUHARI;Laki-Laki;INDRAMAYU
2377;cirebon;PBB;HERLINA;Perempuan;KOTA BANDUNG
2378;cirebon;PBB;SOPHI MAGDALENA;Perempuan;KOTA BANDUNG
2379;cirebon;PBB;KAMALUDIN;Laki-Laki;INDRAMAYU
2382;cirebon;PDIP;DEBY SRI APRILLIANI, S.I.Kom;Perempuan;BOGOR
2383;cirebon;PDIP;Ir.. ROHMAN MULYANA;Laki-Laki;KOTA BANDUNG
2384;cirebon;PDIP;NURODI, SE.;Laki-Laki;KOTA BANDUNG
2392;cirebon;DEMOKRAT;IR.. SRI BUDIHARDJO. H;Laki-Laki;INDRAMAYU
2393;cirebon;DEMOKRAT;RIO AZAZI;Laki-Laki;CIREBON
2394;cirebon;DEMOKRAT;RD. SRI HEVIYANA;Perempuan;CIREBON
2395;cirebon;DEMOKRAT;H. NANA KARNADI;Laki-Laki;CIREBON
2396;cirebon;DEMOKRAT;INDRA AZIS, SE;Laki-Laki;KOTA BANDUNG
2397;cirebon;DEMOKRAT;CUT HAYATUN NUFUS;Perempuan;BANDUNG BARAT
2398;cirebon;DEMOKRAT;WAHIDIN, S.Pd.I;Laki-Laki;KOTA CIREBON
2399;cirebon;DEMOKRAT;SYAFRIL HERNENDI;Laki-Laki;INDRAMAYU
2400;cirebon;DEMOKRAT;SRI WINDHU SUSETYOWATI, SE;Perempuan;INDRAMAYU
2401;cirebon;DEMOKRAT;AGUS PAMBUDI RAHARJO, SE;Laki-Laki;CIREBON
2402;cirebon;DEMOKRAT;Ir.. HERMAN WIJAYA;Laki-Laki;KOTA BANDUNG
2403;cirebon;DEMOKRAT;NUR AMALIA;Perempuan;KOTA CIREBON
2404;cirebon;GERINDRA;DRS. H. DADDY ROHANADY;Laki-Laki;CIREBON
2405;cirebon;GERINDRA;H. KASAN BASARI, SH;Laki-Laki;INDRAMAYU
2406;cirebon;GERINDRA;IVOM MULANSARI;Perempuan;KOTA BANDUNG
2407;cirebon;GERINDRA;HERY SUSANTO, S.PI., MSi;Laki-Laki;JAKARTA TIMUR
2408;cirebon;GERINDRA;DIMAS ANUGERAH ADIASA, S.SOS., MM;Laki-Laki;KOTA BANDUNG
2409;cirebon;GERINDRA;HJ. R.A. ANGGIA BAYU INDRAWATI;Perempuan;BANDUNG
2410;cirebon;GERINDRA;AOS SYAEFUL AZHAR, S.IP;Laki-Laki;GARUT
2411;cirebon;GERINDRA;NY. H.MITHA HIKMAYUDI;Perempuan;JAKARTA SELATAN
2412;cirebon;GERINDRA;WELLY WALEWANGKO;Laki-Laki;KOTA CIREBON
2413;cirebon;GERINDRA;YON HARYONO, S.SOS;Laki-Laki;CIREBON
2414;cirebon;GERINDRA;PRISKA KRISTIANI;Perempuan;KOTA BANDUNG
2415;cirebon;GERINDRA;EKO NURSANTOSA;Laki-Laki;SUBANG
2416;cirebon;GOLKAR;Drs. H. ABDUL ROZAQ MUSLIM, SH, M.Si;Laki-Laki;INDRAMAYU
2417;cirebon;GOLKAR;EDI MULYADI, SE;Laki-Laki;CIREBON
2418;cirebon;GOLKAR;HJ. GANIWATI, SH, MM;Perempuan;KOTA BANDUNG
2419;cirebon;GOLKAR;LILI ELIYAH, SH, MH;Perempuan;KOTA CIREBON
2420;cirebon;GOLKAR;KEMAS ILHAM AKBAR, SH;Laki-Laki;JAKARTA BARAT
2421;cirebon;GOLKAR;PANCA OCTAVIAN WIRAKUSUMAH, SE;Laki-Laki;KOTA BANDUNG
2422;cirebon;GOLKAR;ADESTY ROSTANTIA;Perempuan;INDRAMAYU
2423;cirebon;GOLKAR;DR. H. ABDUL TOLIB, M.Pd;Laki-Laki;INDRAMAYU
2424;cirebon;GOLKAR;HILAL HILMAWAN, S.IP, M.I.P;Laki-Laki;INDRAMAYU
2425;cirebon;GOLKAR;ANANDA PUTRI ZULFIANTI;Perempuan;INDRAMAYU
2426;cirebon;GOLKAR;ROMY ARIEF HIDAJAT, SE;Laki-Laki;KOTA CIREBON
2427;cirebon;GOLKAR;YOGA RAHADIANSYAH, SH;Laki-Laki;INDRAMAYU
2428;cirebon;HANURA;H. ALI WARDANA, SE.;Laki-Laki;INDRAMAYU
2429;cirebon;HANURA;ADE SURAHMAN, SE.;Laki-Laki;SUKABUMI
2430;cirebon;HANURA;ASRI HARTINI;Perempuan;INDRAMAYU
2431;cirebon;HANURA;Drs.. BADRUDDIN;Laki-Laki;CIREBON
2432;cirebon;HANURA;Drs.. MAKMUD, M.M.Pd;Laki-Laki;CIREBON
2433;cirebon;HANURA;RAISA KHAIRUNNISA, S.Psi.;Perempuan;JAKARTA SELATAN
2434;cirebon;HANURA;Drs.. KAPTITO;Laki-Laki;INDRAMAYU
2435;cirebon;HANURA;DEDE SUPRIATNO, SH., MH.;Laki-Laki;INDRAMAYU
2436;cirebon;HANURA;HERA JULAEHA;Perempuan;KOTA CIREBON
2437;cirebon;PARTAI KEADILAN DAN PERSATUAN INDONESIA;SOBARI HARDIANTO,, SE;Laki-Laki;BANDUNG
2438;cirebon;PARTAI KEADILAN DAN PERSATUAN INDONESIA;SRI KOMALA;Perempuan;KOTA BANDUNG
