dapil,partai,agama
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-3,PARTAI NASDEM,-
bener-meriah,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-10,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-4,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-4,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-1,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-4,PARTAI GERAKAN INDONESIA RAYA,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-4,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-4,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-8,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-1,PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PARTAI KEBANGKITAN BANGSA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-2,PARTAI BERKARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-2,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-6,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-8,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-5,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-5,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-3,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-2,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-6,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-1,PARTAI NASDEM,Islam
cianjur,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
kota-bekasi,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-1,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-15,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-3,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-6,PARTAI BERKARYA,-
indramayu,PARTAI BULAN BINTANG,Islam
kota-depok,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
manggarai-barat,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
manggarai-barat,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
sukabumi,PARTAI SOLIDARITAS INDONESIA,Islam
sumba-barat,PARTAI GERAKAN PERUBAHAN INDONESIA,Kristen Protestan
sumba-tengah,PARTAI NASDEM,Kristen Protestan
sumba-timur,PARTAI BULAN BINTANG,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-9,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-2,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-2,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-6,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-5,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-3,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-6,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-6,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-4,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-6,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-5,PARTAI AMANAT NASIONAL,Islam
asahan,PARTAI NASDEM,-
bener-meriah,PARTAI DEMOKRAT,-
pidie,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-6,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-2,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-3,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-4,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-10,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-1,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-3,PARTAI KEBANGKITAN BANGSA,-
bogor,PERSATUAN INDONESIA,Katolik
karawang,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
kota-depok,PARTAI BULAN BINTANG,Islam
kota-kupang,PARTAI KEADILAN SEJAHTERA,Kristen Protestan
kota-lhokseumawe,PARTAI AMANAT NASIONAL,Islam
kota-sukabumi,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
manggarai,PARTAI NASDEM,Kristen Protestan
sikka,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
sikka,PARTAI NASDEM,Kristen Protestan
wajo,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-1,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-10,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-2,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-7,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-4,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI DEMOKRAT,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-6,PARTAI BERKARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI GERAKAN PERUBAHAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-5,PARTAI HATI NURANI RAKYAT,Katolik
indramayu,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-14,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-11,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-4,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-6,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-3,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-6,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-2,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-4,PARTAI SOLIDARITAS INDONESIA,-
ende,PARTAI GERAKAN INDONESIA RAYA,Katolik
majalengka,PARTAI AMANAT NASIONAL,Islam
ngada,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
purwakarta,PERSATUAN INDONESIA,Lainnya
sukabumi,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
sumba-timur,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-8,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-3,PARTAI SOLIDARITAS INDONESIA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-1,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-8,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-2,PARTAI AMANAT NASIONAL,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-1,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-13,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-9,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-2,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-2,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-4,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-6,PARTAI HATI NURANI RAKYAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-3,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-8,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-1,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-4,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-5,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-3,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-3,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-4,PARTAI HATI NURANI RAKYAT,Islam
bireuen,PARTAI ACEH,-
kota-bekasi,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-1,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-15,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-6,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-6,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-8,PARTAI GERAKAN INDONESIA RAYA,-
cianjur,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Katolik
manggarai-timur,PARTAI SOLIDARITAS INDONESIA,Islam
sumba-timur,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-2,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-1,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-2,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-4,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-2,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-10,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-5,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-9,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-3,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-6,PARTAI HATI NURANI RAKYAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-8,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-5,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-2,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-2,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-4,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-8,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-3,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-5,PARTAI HATI NURANI RAKYAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-1,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-4,PARTAI GERAKAN INDONESIA RAYA,Budha
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-5,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
kota-kupang,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
kota-tebing-tinggi,PARTAI KEBANGKITAN BANGSA,-
subang,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-5,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-8,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-8,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-8,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-5,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-1,PARTAI DEMOKRAT,-
ende,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
sukabumi,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-8,PARTAI SOLIDARITAS INDONESIA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-9,PARTAI NASDEM,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-4,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-1,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-5,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-4,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-7,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-4,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-3,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-5,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-5,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-2,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-6,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-1,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-1,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-5,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-2,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-4,PARTAI DEMOKRAT,Islam
aceh-utara,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
kota-lhokseumawe,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-3,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-1,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-4,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-3,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-4,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-7,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-5,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-8,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-2,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-6,PARTAI DEMOKRAT,-
asahan,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
pidie,PARTAI SIRA,Islam
sumba-barat-daya,PARTAI DEMOKRAT,Kristen Protestan
sumba-tengah,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-4,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-4,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-8,PARTAI NASDEM,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-8,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-2,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-7,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-2,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-6,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-6,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-3,PARTAI GOLONGAN KARYA,Budha
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-5,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-7,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-5,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-4,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-5,PERSATUAN INDONESIA,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-8,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-2,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-5,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-1,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-6,PARTAI BERKARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-2,PARTAI HATI NURANI RAKYAT,Islam
sumba-timur,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-1,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-2,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-5,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-11,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-9,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-2,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-7,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-3,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-2,PARTAI AMANAT NASIONAL,-
bekasi,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
kota-banda-aceh,PARTAI SIRA,Islam
kota-tebing-tinggi,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
kota-tebing-tinggi,PARTAI HATI NURANI RAKYAT,Islam
rote-ndao,PARTAI BERKARYA,Islam
subang,PARTAI BULAN BINTANG,Islam
sumba-timur,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-4,PARTAI SIRA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-10,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-7,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI GERAKAN INDONESIA RAYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-4,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PARTAI NASDEM,Katolik
